Freq.	V(n010)/I(V1)
Step Information: 1=1  (Run: 1/11)
1.41579377995707e+003	(9.91203270903985e+001dB,1.79913377249830e+002°)
1.41905752168908e+003	(9.91203303560822e+001dB,1.79913176756636e+002°)
1.42232878712281e+003	(9.91203336368832e+001dB,1.79912975795648e+002°)
1.42560759360218e+003	(9.91203369328717e+001dB,1.79912774365748e+002°)
1.42889395851109e+003	(9.91203402441181e+001dB,1.79912572465817e+002°)
1.43218789927353e+003	(9.91203435706935e+001dB,1.79912370094732e+002°)
1.43548943335364e+003	(9.91203469126688e+001dB,1.79912167251366e+002°)
1.43879857825583e+003	(9.91203502701157e+001dB,1.79911963934591e+002°)
1.44211535152486e+003	(9.91203536431059e+001dB,1.79911760143274e+002°)
1.44543977074592e+003	(9.91203570317116e+001dB,1.79911555876282e+002°)
1.44877185354475e+003	(9.91203604360054e+001dB,1.79911351132476e+002°)
1.45211161758773e+003	(9.91203638560601e+001dB,1.79911145910716e+002°)
1.45545908058195e+003	(9.91203672919488e+001dB,1.79910940209860e+002°)
1.45881426027534e+003	(9.91203707437452e+001dB,1.79910734028759e+002°)
1.46217717445671e+003	(9.91203742115230e+001dB,1.79910527366266e+002°)
1.46554784095590e+003	(9.91203776953565e+001dB,1.79910320221229e+002°)
1.46892627764385e+003	(9.91203811953203e+001dB,1.79910112592491e+002°)
1.47231250243271e+003	(9.91203847114892e+001dB,1.79909904478895e+002°)
1.47570653327588e+003	(9.91203882439386e+001dB,1.79909695879280e+002°)
1.47910838816819e+003	(9.91203917927440e+001dB,1.79909486792481e+002°)
1.48251808514594e+003	(9.91203953579815e+001dB,1.79909277217333e+002°)
1.48593564228699e+003	(9.91203989397273e+001dB,1.79909067152664e+002°)
1.48936107771090e+003	(9.91204025380582e+001dB,1.79908856597302e+002°)
1.49279440957898e+003	(9.91204061530511e+001dB,1.79908645550071e+002°)
1.49623565609442e+003	(9.91204097847835e+001dB,1.79908434009791e+002°)
1.49968483550236e+003	(9.91204134333331e+001dB,1.79908221975281e+002°)
1.50314196609001e+003	(9.91204170987781e+001dB,1.79908009445355e+002°)
1.50660706618673e+003	(9.91204207811969e+001dB,1.79907796418825e+002°)
1.51008015416413e+003	(9.91204244806684e+001dB,1.79907582894500e+002°)
1.51356124843619e+003	(9.91204281972719e+001dB,1.79907368871186e+002°)
1.51705036745932e+003	(9.91204319310869e+001dB,1.79907154347685e+002°)
1.52054752973248e+003	(9.91204356821933e+001dB,1.79906939322796e+002°)
1.52405275379728e+003	(9.91204394506716e+001dB,1.79906723795317e+002°)
1.52756605823806e+003	(9.91204432366025e+001dB,1.79906507764040e+002°)
1.53108746168201e+003	(9.91204470400670e+001dB,1.79906291227755e+002°)
