Freq.	V(n001)
Step Information: 1=1  (Run: 1/11)
1.17760597352080e+003	(-4.38292107568250e+001dB,-9.02577429570501e+001°)
1.18032063565173e+003	(-4.38091637554840e+001dB,-9.02583384163019e+001°)
1.18304155572516e+003	(-4.37891165369424e+001dB,-9.02589352572410e+001°)
1.18576874816716e+003	(-4.37690691001954e+001dB,-9.02595334831384e+001°)
1.18850222743701e+003	(-4.37490214442332e+001dB,-9.02601330972470e+001°)
1.19124200802737e+003	(-4.37289735680419e+001dB,-9.02607341028204e+001°)
1.19398810446427e+003	(-4.37089254706023e+001dB,-9.02613365031397e+001°)
1.19674053130724e+003	(-4.36888771508910e+001dB,-9.02619403014743e+001°)
1.19949930314937e+003	(-4.36688286078795e+001dB,-9.02625455011198e+001°)
1.20226443461741e+003	(-4.36487798405344e+001dB,-9.02631521053784e+001°)
1.20503594037179e+003	(-4.36287308478179e+001dB,-9.02637601175387e+001°)
1.20781383510678e+003	(-4.36086816286873e+001dB,-9.02643695409332e+001°)
1.21059813355048e+003	(-4.35886321820949e+001dB,-9.02649803788612e+001°)
1.21338885046497e+003	(-4.35685825069883e+001dB,-9.02655926346566e+001°)
1.21618600064636e+003	(-4.35485326023099e+001dB,-9.02662063116686e+001°)
1.21898959892486e+003	(-4.35284824669977e+001dB,-9.02668214132117e+001°)
1.22179966016487e+003	(-4.35084320999843e+001dB,-9.02674379426677e+001°)
1.22461619926504e+003	(-4.34883815001978e+001dB,-9.02680559033711e+001°)
1.22743923115840e+003	(-4.34683306665609e+001dB,-9.02686752987375e+001°)
1.23026877081238e+003	(-4.34482795979914e+001dB,-9.02692961321006e+001°)
1.23310483322890e+003	(-4.34282282934025e+001dB,-9.02699184068401e+001°)
1.23594743344450e+003	(-4.34081767517017e+001dB,-9.02705421263990e+001°)
1.23879658653036e+003	(-4.33881249717920e+001dB,-9.02711672941230e+001°)
1.24165230759241e+003	(-4.33680729525707e+001dB,-9.02717939134685e+001°)
1.24451461177138e+003	(-4.33480206929309e+001dB,-9.02724219878122e+001°)
1.24738351424294e+003	(-4.33279681917595e+001dB,-9.02730515206288e+001°)
1.25025903021771e+003	(-4.33079154479391e+001dB,-9.02736825153201e+001°)
1.25314117494141e+003	(-4.32878624603466e+001dB,-9.02743149753330e+001°)
1.25602996369487e+003	(-4.32678092278539e+001dB,-9.02749489041396e+001°)
1.25892541179416e+003	(-4.32477557493276e+001dB,-9.02755843051826e+001°)
1.26182753459066e+003	(-4.32277020236290e+001dB,-9.02762211819361e+001°)
1.26473634747115e+003	(-4.32076480496144e+001dB,-9.02768595378623e+001°)
1.26765186585784e+003	(-4.31875938261344e+001dB,-9.02774993764823e+001°)
1.27057410520854e+003	(-4.31675393520344e+001dB,-9.02781407012570e+001°)
1.27350308101666e+003	(-4.31474846261546e+001dB,-9.02787835157307e+001°)
1.27643880881134e+003	(-4.31274296473295e+001dB,-9.02794278233714e+001°)
1.27938130415752e+003	(-4.31073744143887e+001dB,-9.02800736277479e+001°)
1.28233058265601e+003	(-4.30873189261559e+001dB,-9.02807209323227e+001°)
1.28528665994361e+003	(-4.30672631814493e+001dB,-9.02813697407007e+001°)
1.28824955169313e+003	(-4.30472071790822e+001dB,-9.02820200563942e+001°)
1.29121927361353e+003	(-4.30271509178617e+001dB,-9.02826718829525e+001°)
1.29419584144998e+003	(-4.30070943965898e+001dB,-9.02833252239708e+001°)
1.29717927098395e+003	(-4.29870376140628e+001dB,-9.02839800830085e+001°)
1.30016957803328e+003	(-4.29669805690714e+001dB,-9.02846364636307e+001°)
1.30316677845229e+003	(-4.29469232604007e+001dB,-9.02852943694649e+001°)
1.30617088813183e+003	(-4.29268656868302e+001dB,-9.02859538040690e+001°)
1.30918192299940e+003	(-4.29068078471338e+001dB,-9.02866147710796e+001°)
1.31219989901920e+003	(-4.28867497400793e+001dB,-9.02872772741086e+001°)
1.31522483219223e+003	(-4.28666913644295e+001dB,-9.02879413167744e+001°)
1.31825673855640e+003	(-4.28466327189407e+001dB,-9.02886069027263e+001°)
1.32129563418657e+003	(-4.28265738023638e+001dB,-9.02892740356046e+001°)
1.32434153519466e+003	(-4.28065146134442e+001dB,-9.02899427190481e+001°)
1.32739445772973e+003	(-4.27864551509207e+001dB,-9.02906129567375e+001°)
1.33045441797808e+003	(-4.27663954135271e+001dB,-9.02912847523506e+001°)
1.33352143216332e+003	(-4.27463353999908e+001dB,-9.02919581095336e+001°)
1.33659551654643e+003	(-4.27262751090333e+001dB,-9.02926330320182e+001°)
1.33967668742593e+003	(-4.27062145393702e+001dB,-9.02933095234688e+001°)
1.34276496113786e+003	(-4.26861536897115e+001dB,-9.02939875876168e+001°)
1.34586035405594e+003	(-4.26660925587606e+001dB,-9.02946672281734e+001°)
1.34896288259165e+003	(-4.26460311452155e+001dB,-9.02953484488468e+001°)
1.35207256319427e+003	(-4.26259694477676e+001dB,-9.02960312533959e+001°)
1.35518941235103e+003	(-4.26059074651027e+001dB,-9.02967156455783e+001°)
1.35831344658715e+003	(-4.25858451959000e+001dB,-9.02974016291028e+001°)
1.36144468246594e+003	(-4.25657826388331e+001dB,-9.02980892077637e+001°)
1.36458313658892e+003	(-4.25457197925689e+001dB,-9.02987783853528e+001°)
1.36772882559584e+003	(-4.25256566557686e+001dB,-9.02994691656010e+001°)
1.37088176616484e+003	(-4.25055932270869e+001dB,-9.03001615523429e+001°)
1.37404197501251e+003	(-4.24855295051724e+001dB,-9.03008555493582e+001°)
1.37720946889394e+003	(-4.24654654886672e+001dB,-9.03015511604682e+001°)
1.38038426460288e+003	(-4.24454011762073e+001dB,-9.03022483894920e+001°)
1.38356637897177e+003	(-4.24253365664223e+001dB,-9.03029472402586e+001°)
1.38675582887188e+003	(-4.24052716579355e+001dB,-9.03036477165838e+001°)
1.38995263121334e+003	(-4.23852064493636e+001dB,-9.03043498223587e+001°)
1.39315680294529e+003	(-4.23651409393171e+001dB,-9.03050535614131e+001°)
1.39636836105593e+003	(-4.23450751263999e+001dB,-9.03057589376113e+001°)
1.39958732257261e+003	(-4.23250090092095e+001dB,-9.03064659548574e+001°)
1.40281370456195e+003	(-4.23049425863370e+001dB,-9.03071746170094e+001°)
1.40604752412990e+003	(-4.22848758563666e+001dB,-9.03078849279873e+001°)
1.40928879842186e+003	(-4.22648088178762e+001dB,-9.03085968916864e+001°)
1.41253754462274e+003	(-4.22447414694370e+001dB,-9.03093105120104e+001°)
1.41579377995707e+003	(-4.22246738096137e+001dB,-9.03100257929056e+001°)
1.41905752168908e+003	(-4.22046058369640e+001dB,-9.03107427383122e+001°)
