#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-08 16:07:13.119
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 201
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.43395 V
#Offset: -2.27108e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
331131.121482591,-34.14566789040493,85.82159999975765
342767.7865464503,-34.52191720482906,83.93988315079136
354813.3892335755,-34.62084616283457,85.18226243128622
367282.3004980847,-34.89775184796773,86.86900917006004
380189.3963205612,-35.09372761144599,86.61886072267828
393550.0754557775,-35.36850409102041,84.21577687698661
407380.2778041128,-35.5887035299675,83.79745157888013
421696.5034285823,-35.89386090661725,84.98885938148574
436515.832240166,-36.02977663457504,84.30498226882203
451855.9443749224,-36.22129513866287,85.6891490850166
467735.1412871983,-36.36482169914288,85.19866651918589
484172.3675840995,-36.39801941406814,85.80995759622641
501187.2336272725,-36.97185160610437,87.70136614092353
518800.0389289613,-37.06864551935196,87.69474149055802
537031.7963702529,-37.36023954583493,83.83184656029007
555904.2572704038,-37.4195495719981,84.19989071478568
575439.9373371572,-37.45380635047705,79.44656007690692
595662.1435290107,-37.81383007138299,84.97503373281359
616595.0018614824,-37.90467620646096,84.65857410592207
638263.486190549,-38.61831547625245,81.07912936032533
660693.4480075957,-38.02768725120573,82.60703102660126
683911.6472814291,-38.53109483247713,80.25204075773902
707945.7843841377,-38.42078731158941,83.42045949996213
732824.5331389039,-38.96944789064349,81.48110012650349
758577.5750291836,-38.78601379160692,82.41410356926292
785235.6346100717,-38.35436695462746,83.65647626089185
812830.5161640991,-38.32173764149725,83.7900970643891
841395.1416451951,-39.41176379942817,80.37730848837221
870963.5899560805,-38.91180234204565,84.79897461516123
901571.1376059569,-39.8896091785716,84.19269015779057
933254.300796991,-39.53339085588856,79.06724580106021
966050.8789898134,-39.01637871418772,83.05796431695983
1000000,-38.91667416329678,82.99334261101728
